level,clade_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
order,Lamiales,Male ~ Flower,phySMA,243,0.8207039752552752,-0.4960250867735434,NA,NA,NA,1.1485633214857192,NA,NA,NA,9.79347583312507e-7
order,Lamiales,Female ~ Flower,phySMA,243,0.7979987076455719,-0.8401537315772454,NA,NA,NA,0.9819991397403167,NA,NA,NA,0.5312006264699474
order,Lamiales,Petals ~ Flower,phySMA,243,0.8307686265115226,0.07675721501148258,NA,NA,NA,1.2423508607569054,NA,NA,NA,5.674515641563004e-14
order,Lamiales,Sepals ~ Flower,phySMA,243,0.7296187114179173,-0.7559012369218556,NA,NA,NA,0.9723789787012066,NA,NA,NA,0.40414065287118006
order,Fabales,Male ~ Flower,phySMA,278,0.8165458569541185,-0.5378280185787245,NA,NA,NA,1.1253893674813762,NA,NA,NA,8.143293419065266e-6
order,Fabales,Female ~ Flower,phySMA,278,0.8236913050354329,-0.8275183219915636,NA,NA,NA,0.9853718569876443,NA,NA,NA,0.5605274720560173
order,Fabales,Petals ~ Flower,phySMA,278,0.8482247243255372,0.09140560925618413,NA,NA,NA,1.2500579322539234,NA,NA,NA,6.819258402689335e-18
order,Fabales,Sepals ~ Flower,phySMA,278,0.7319684928587434,-0.7848079824432015,NA,NA,NA,0.9599756293619129,NA,NA,NA,0.19140945791665465
order,Myrtales,Male ~ Flower,phySMA,282,0.8355399716041086,-0.5628439162411345,NA,NA,NA,1.1169566422836563,NA,NA,NA,8.767891928594837e-6
order,Myrtales,Female ~ Flower,phySMA,282,0.8538048915955094,-0.8475056176380491,NA,NA,NA,0.9822551787120695,NA,NA,NA,0.4342398686633916
order,Myrtales,Petals ~ Flower,phySMA,282,0.9392621154328543,-0.05091117451180027,NA,NA,NA,1.1739833063199463,NA,NA,NA,7.906650561606885e-22
order,Myrtales,Sepals ~ Flower,phySMA,282,0.7595514944378248,-0.7863867315128095,NA,NA,NA,0.958804296517145,NA,NA,NA,0.15265068980009386
order,Ericales,Male ~ Flower,phySMA,283,0.8324005262504085,-0.5367462841214139,NA,NA,NA,1.1301116355574052,NA,NA,NA,1.2007079323306056e-6
order,Ericales,Female ~ Flower,phySMA,283,0.8248909166644905,-0.8163488724376746,NA,NA,NA,0.993371116040865,NA,NA,NA,0.7901814668774853
order,Ericales,Petals ~ Flower,phySMA,283,0.8517898282973035,0.04489741218651844,NA,NA,NA,1.2285608145929974,NA,NA,NA,2.307097469851887e-16
order,Ericales,Sepals ~ Flower,phySMA,283,0.7543790700321605,-0.7508978390965781,NA,NA,NA,0.9736020346540304,NA,NA,NA,0.36658994938697786
order,Malpighiales,Male ~ Flower,phySMA,291,0.831804971312309,-0.55982308262793,NA,NA,NA,1.115735338370258,NA,NA,NA,9.577834423562362e-6
order,Malpighiales,Female ~ Flower,phySMA,291,0.8322100694381352,-0.8158217528445553,NA,NA,NA,0.9925639447699369,NA,NA,NA,0.7570548478791368
order,Malpighiales,Petals ~ Flower,phySMA,291,0.8514965278472323,0.044862360841812166,NA,NA,NA,1.226046765261669,NA,NA,NA,1.6687257399069553e-16
order,Malpighiales,Sepals ~ Flower,phySMA,291,0.7497665136080599,-0.7626165136114191,NA,NA,NA,0.97269655027648,NA,NA,NA,0.34788389834684663
